Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
4936466115,NBA $4K Quarter Jukebox [Just $0.25!],184431691,$0.25,Ryan Rollins (40658690),Collin Sexton (40658674),Nickeil Alexander-Walker (40658705),Matas Buzelis (40658702),Ryan Kalkbrenner (40658741),VJ Edgecombe (40658648),Brandon Ingram (40658654),Tre Jones (40658725),,1. Column A lists all of your contest entries for this draftgroup
4936466722,NBA $4K Quarter Jukebox [Just $0.25!],184431691,$0.25,Tyrese Maxey (40658611),VJ Edgecombe (40658648),Nickeil Alexander-Walker (40658705),Matas Buzelis (40658702),Ryan Kalkbrenner (40658741),Tre Jones (40658725),Saddiq Bey (40658793),Ryan Rollins (40658690),,2. Your current lineup is listed next to each entry (blank for reservations)
,,,,,,,,,,,,,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
,,,,,,,,,,,,,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
,,,,,,,,,,,,,5. For faster processing only include entries you are changing in the file you upload
,,,,,,,,,,,,,
,,,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,PG,Tre Jones (40658725),Tre Jones,40658725,PG/G/UTIL,5500,PHI@CHI 11/04/2025 08:00PM ET,CHI,30.33
,,,,,,,,,,,,,C,Wendell Carter Jr. (40658728),Wendell Carter Jr.,40658728,C/UTIL,5500,ORL@ATL 11/04/2025 08:00PM ET,ORL,27.61
,,,,,,,,,,,,,SG/SF,Kon Knueppel (40658720),Kon Knueppel,40658720,SG/SF/F/G/UTIL,5500,CHA@NOP 11/04/2025 08:00PM ET,CHA,25.14
,,,,,,,,,,,,,PG,Jalen Suggs (40658734),Jalen Suggs,40658734,PG/G/UTIL,5200,ORL@ATL 11/04/2025 08:00PM ET,ORL,24.25
,,,,,,,,,,,,,PG/SG,Cole Anthony (40658737),Cole Anthony,40658737,PG/SG/G/UTIL,5200,MIL@TOR 11/04/2025 07:30PM ET,MIL,24.96
,,,,,,,,,,,,,SG/SF,Anthony Black (40658747),Anthony Black,40658747,SG/SF/F/G/UTIL,5000,ORL@ATL 11/04/2025 08:00PM ET,ORL,21.96
,,,,,,,,,,,,,C,Ryan Kalkbrenner (40658741),Ryan Kalkbrenner,40658741,C/UTIL,5000,CHA@NOP 11/04/2025 08:00PM ET,CHA,24.14
,,,,,,,,,,,,,SF,Gary Trent Jr. (40658758),Gary Trent Jr.,40658758,SF/F/UTIL,4900,MIL@TOR 11/04/2025 07:30PM ET,MIL,23.75
,,,,,,,,,,,,,C,Yves Missi (40658745),Yves Missi,40658745,C/UTIL,4900,CHA@NOP 11/04/2025 08:00PM ET,NOP,20.15
,,,,,,,,,,,,,C,Andre Drummond (40658743),Andre Drummond,40658743,C/UTIL,4800,PHI@CHI 11/04/2025 08:00PM ET,PHI,17.08
,,,,,,,,,,,,,SF,Herbert Jones (40658752),Herbert Jones,40658752,SF/F/UTIL,4800,CHA@NOP 11/04/2025 08:00PM ET,NOP,20.42
,,,,,,,,,,,,,PG/SG,Tre Mann (40658764),Tre Mann,40658764,PG/SG/G/UTIL,4800,CHA@NOP 11/04/2025 08:00PM ET,CHA,17.64
,,,,,,,,,,,,,PG,Jeremiah Fears (40658755),Jeremiah Fears,40658755,PG/G/UTIL,4700,CHA@NOP 11/04/2025 08:00PM ET,NOP,24.96
,,,,,,,,,,,,,SG,Kevin Huerter (40658761),Kevin Huerter,40658761,SG/G/UTIL,4600,PHI@CHI 11/04/2025 08:00PM ET,CHI,25.88
,,,,,,,,,,,,,PF/C,Collin Murray-Boyles (40658784),Collin Murray-Boyles,40658784,PF/C/F/UTIL,4600,MIL@TOR 11/04/2025 07:30PM ET,TOR,20.55
,,,,,,,,,,,,,PF/C,Dominick Barlow (40658768),Dominick Barlow,40658768,PF/C/F/UTIL,4500,PHI@CHI 11/04/2025 08:00PM ET,PHI,19
,,,,,,,,,,,,,SF,Zaccharie Risacher (40658781),Zaccharie Risacher,40658781,SF/F/UTIL,4500,ORL@ATL 11/04/2025 08:00PM ET,ATL,16.6
,,,,,,,,,,,,,SG/SF,Ayo Dosunmu (40658776),Ayo Dosunmu,40658776,SG/SF/F/G/UTIL,4400,PHI@CHI 11/04/2025 08:00PM ET,CHI,25.85
,,,,,,,,,,,,,SG,AJ Green (40658790),AJ Green,40658790,SG/G/UTIL,4400,MIL@TOR 11/04/2025 07:30PM ET,MIL,19.25
,,,,,,,,,,,,,PF/C,Grant Williams (40658772),Grant Williams,40658772,PF/C/F/UTIL,4400,CHA@NOP 11/04/2025 08:00PM ET,CHA,0
,,,,,,,,,,,,,C,Adem Bona (40658797),Adem Bona,40658797,C/UTIL,4300,PHI@CHI 11/04/2025 08:00PM ET,PHI,11.17
,,,,,,,,,,,,,PG/SG,Luke Kennard (40658799),Luke Kennard,40658799,PG/SG/G/UTIL,4300,ORL@ATL 11/04/2025 08:00PM ET,ATL,16.64
,,,,,,,,,,,,,C,Moritz Wagner (40658788),Moritz Wagner,40658788,C/UTIL,4200,ORL@ATL 11/04/2025 08:00PM ET,ORL,0
,,,,,,,,,,,,,PF/C,Trendon Watford (40658819),Trendon Watford,40658819,PF/C/F/UTIL,4100,PHI@CHI 11/04/2025 08:00PM ET,PHI,17.08
,,,,,,,,,,,,,SF/PF,Saddiq Bey (40658793),Saddiq Bey,40658793,SF/PF/F/UTIL,4100,CHA@NOP 11/04/2025 08:00PM ET,NOP,16.58
,,,,,,,,,,,,,SG,Sion James (40658812),Sion James,40658812,SG/G/UTIL,4100,CHA@NOP 11/04/2025 08:00PM ET,CHA,17.29
,,,,,,,,,,,,,SF/PF,Tristan da Silva (40658805),Tristan da Silva,40658805,SF/PF/F/UTIL,3900,ORL@ATL 11/04/2025 08:00PM ET,ORL,18.79
,,,,,,,,,,,,,PG,Keaton Wallace (40658809),Keaton Wallace,40658809,PG/G/UTIL,3900,ORL@ATL 11/04/2025 08:00PM ET,ATL,10.08
,,,,,,,,,,,,,C,Moussa Diabate (40658803),Moussa Diabate,40658803,C/UTIL,3900,CHA@NOP 11/04/2025 08:00PM ET,CHA,23.57
,,,,,,,,,,,,,PF/C,Mouhamed Gueye (40658815),Mouhamed Gueye,40658815,PF/C/F/UTIL,3800,ORL@ATL 11/04/2025 08:00PM ET,ATL,14.39
,,,,,,,,,,,,,C,Goga Bitadze (40658835),Goga Bitadze,40658835,C/UTIL,3800,ORL@ATL 11/04/2025 08:00PM ET,ORL,19.5
,,,,,,,,,,,,,SF/PF,Taurean Prince (40658862),Taurean Prince,40658862,SF/PF/F/UTIL,3800,MIL@TOR 11/04/2025 07:30PM ET,MIL,13.68
,,,,,,,,,,,,,SF,Isaac Okoro (40658832),Isaac Okoro,40658832,SF/F/UTIL,3700,PHI@CHI 11/04/2025 08:00PM ET,CHI,11.67
,,,,,,,,,,,,,SG/SF,Gradey Dick (40658827),Gradey Dick,40658827,SG/SF/F/G/UTIL,3700,MIL@TOR 11/04/2025 07:30PM ET,TOR,12
,,,,,,,,,,,,,PF/C,Derik Queen (40658823),Derik Queen,40658823,PF/C/F/UTIL,3700,CHA@NOP 11/04/2025 08:00PM ET,NOP,15.46
,,,,,,,,,,,,,SF/PF,Patrick Williams (40658837),Patrick Williams,40658837,SF/PF/F/UTIL,3600,PHI@CHI 11/04/2025 08:00PM ET,CHI,19.67
,,,,,,,,,,,,,PG,Jose Alvarado (40658841),Jose Alvarado,40658841,PG/G/UTIL,3600,CHA@NOP 11/04/2025 08:00PM ET,NOP,9.25
,,,,,,,,,,,,,SG/SF,Vit Krejci (40658851),Vit Krejci,40658851,SG/SF/F/G/UTIL,3500,ORL@ATL 11/04/2025 08:00PM ET,ATL,12.83
,,,,,,,,,,,,,PG,Jamal Shead (40658844),Jamal Shead,40658844,PG/G/UTIL,3500,MIL@TOR 11/04/2025 07:30PM ET,TOR,17.89
,,,,,,,,,,,,,PF/C,Karlo Matkovic (40658847),Karlo Matkovic,40658847,PF/C/F/UTIL,3500,CHA@NOP 11/04/2025 08:00PM ET,NOP,3.25
,,,,,,,,,,,,,SF,Josh Green (40658856),Josh Green,40658856,SF/F/UTIL,3500,CHA@NOP 11/04/2025 08:00PM ET,CHA,0
,,,,,,,,,,,,,PG,KJ Simpson (40658859),KJ Simpson,40658859,PG/G/UTIL,3400,CHA@NOP 11/04/2025 08:00PM ET,CHA,18.5
,,,,,,,,,,,,,SF/PF,Jabari Walker (40658890),Jabari Walker,40658890,SF/PF/F/UTIL,3300,PHI@CHI 11/04/2025 08:00PM ET,PHI,8.92
,,,,,,,,,,,,,C,Sandro Mamukelashvili (40658866),Sandro Mamukelashvili,40658866,C/UTIL,3300,MIL@TOR 11/04/2025 07:30PM ET,TOR,15.21
,,,,,,,,,,,,,C,Jalen Smith (40658868),Jalen Smith,40658868,C/UTIL,3200,PHI@CHI 11/04/2025 08:00PM ET,CHI,17.08
,,,,,,,,,,,,,SF,Justin Edwards (40658885),Justin Edwards,40658885,SF/F/UTIL,3200,PHI@CHI 11/04/2025 08:00PM ET,PHI,6.42
,,,,,,,,,,,,,PF/C,Jonathan Isaac (40658878),Jonathan Isaac,40658878,PF/C/F/UTIL,3200,ORL@ATL 11/04/2025 08:00PM ET,ORL,6.79
,,,,,,,,,,,,,PG,Tyus Jones (40658882),Tyus Jones,40658882,PG/G/UTIL,3200,ORL@ATL 11/04/2025 08:00PM ET,ORL,7.71
,,,,,,,,,,,,,SF/PF,Liam McNeeley (40658870),Liam McNeeley,40658870,SF/PF/F/UTIL,3200,CHA@NOP 11/04/2025 08:00PM ET,CHA,7.15
,,,,,,,,,,,,,SF/PF,Tidjane Salaun (40658874),Tidjane Salaun,40658874,SF/PF/F/UTIL,3200,CHA@NOP 11/04/2025 08:00PM ET,CHA,9.61
,,,,,,,,,,,,,C,Kevon Looney (40658888),Kevon Looney,40658888,C/UTIL,3200,CHA@NOP 11/04/2025 08:00PM ET,NOP,10.75
,,,,,,,,,,,,,SF/PF,Noah Penda (40658906),Noah Penda,40658906,SF/PF/F/UTIL,3100,ORL@ATL 11/04/2025 08:00PM ET,ORL,9.12
,,,,,,,,,,,,,SG/SF,Ochai Agbaji (40658901),Ochai Agbaji,40658901,SG/SF/F/G/UTIL,3100,MIL@TOR 11/04/2025 07:30PM ET,TOR,9.32
,,,,,,,,,,,,,SG/SF,Amir Coffey (40658910),Amir Coffey,40658910,SG/SF/F/G/UTIL,3100,MIL@TOR 11/04/2025 07:30PM ET,MIL,4.79
,,,,,,,,,,,,,C,DeAndre Jordan (40658894),DeAndre Jordan,40658894,C/UTIL,3100,CHA@NOP 11/04/2025 08:00PM ET,NOP,10.5
,,,,,,,,,,,,,SG/SF,Jordan Hawkins (40658896),Jordan Hawkins,40658896,SG/SF/F/G/UTIL,3100,CHA@NOP 11/04/2025 08:00PM ET,NOP,7.3
,,,,,,,,,,,,,PF,Johni Broome (40658922),Johni Broome,40658922,PF/F/UTIL,3000,PHI@CHI 11/04/2025 08:00PM ET,PHI,8
,,,,,,,,,,,,,SG,Trentyn Flowers (40658987),Trentyn Flowers,40658987,SG/G/UTIL,3000,PHI@CHI 11/04/2025 08:00PM ET,CHI,0
,,,,,,,,,,,,,SF/PF,Noa Essengue (40658990),Noa Essengue,40658990,SF/PF/F/UTIL,3000,PHI@CHI 11/04/2025 08:00PM ET,CHI,0
,,,,,,,,,,,,,PG/SG,Jevon Carter (40658994),Jevon Carter,40658994,PG/SG/G/UTIL,3000,PHI@CHI 11/04/2025 08:00PM ET,CHI,3
,,,,,,,,,,,,,SF/PF,Dalen Terry (40658998),Dalen Terry,40658998,SF/PF/F/UTIL,3000,PHI@CHI 11/04/2025 08:00PM ET,CHI,1.17
,,,,,,,,,,,,,C,Lachlan Olbrich (40659002),Lachlan Olbrich,40659002,C/UTIL,3000,PHI@CHI 11/04/2025 08:00PM ET,CHI,0
,,,,,,,,,,,,,SF/PF,Emanuel Miller (40659004),Emanuel Miller,40659004,SF/PF/F/UTIL,3000,PHI@CHI 11/04/2025 08:00PM ET,CHI,0
,,,,,,,,,,,,,SF/PF,Julian Phillips (40659008),Julian Phillips,40659008,SF/PF/F/UTIL,3000,PHI@CHI 11/04/2025 08:00PM ET,CHI,3.9
,,,,,,,,,,,,,C,Zach Collins (40659012),Zach Collins,40659012,C/UTIL,3000,PHI@CHI 11/04/2025 08:00PM ET,CHI,0
,,,,,,,,,,,,,PG/SG,Kyle Lowry (40659065),Kyle Lowry,40659065,PG/SG/G/UTIL,3000,PHI@CHI 11/04/2025 08:00PM ET,PHI,7
,,,,,,,,,,,,,SG,Hunter Sallis (40659069),Hunter Sallis,40659069,SG/G/UTIL,3000,PHI@CHI 11/04/2025 08:00PM ET,PHI,2.12
,,,,,,,,,,,,,SG/SF,Eric Gordon (40659072),Eric Gordon,40659072,SG/SF/F/G/UTIL,3000,PHI@CHI 11/04/2025 08:00PM ET,PHI,5.25
,,,,,,,,,,,,,SF,Nikola Djurisic (40658941),Nikola Djurisic,40658941,SF/F/UTIL,3000,ORL@ATL 11/04/2025 08:00PM ET,ATL,0
,,,,,,,,,,,,,C,N'Faly Dante (40658944),N'Faly Dante,40658944,C/UTIL,3000,ORL@ATL 11/04/2025 08:00PM ET,ATL,5.08
,,,,,,,,,,,,,SF/PF,Caleb Houstan (40658946),Caleb Houstan,40658946,SF/PF/F/UTIL,3000,ORL@ATL 11/04/2025 08:00PM ET,ATL,0
,,,,,,,,,,,,,PF,Jacob Toppin (40658950),Jacob Toppin,40658950,PF/F/UTIL,3000,ORL@ATL 11/04/2025 08:00PM ET,ATL,1
,,,,,,,,,,,,,PF,Asa Newell (40658953),Asa Newell,40658953,PF/F/UTIL,3000,ORL@ATL 11/04/2025 08:00PM ET,ATL,11.17
,,,,,,,,,,,,,PF/C,Eli Ndiaye (40658956),Eli Ndiaye,40658956,PF/C/F/UTIL,3000,ORL@ATL 11/04/2025 08:00PM ET,ATL,0
,,,,,,,,,,,,,C,Colin Castleton (40659024),Colin Castleton,40659024,C/UTIL,3000,ORL@ATL 11/04/2025 08:00PM ET,ORL,0
,,,,,,,,,,,,,C,Orlando Robinson (40659026),Orlando Robinson,40659026,C/UTIL,3000,ORL@ATL 11/04/2025 08:00PM ET,ORL,0
,,,,,,,,,,,,,SG/SF,Jett Howard (40659028),Jett Howard,40659028,SG/SF/F/G/UTIL,3000,ORL@ATL 11/04/2025 08:00PM ET,ORL,3.1
,,,,,,,,,,,,,SF/PF,Jamal Cain (40659033),Jamal Cain,40659033,SF/PF/F/UTIL,3000,ORL@ATL 11/04/2025 08:00PM ET,ORL,0
,,,,,,,,,,,,,PG/SG,Jase Richardson (40659037),Jase Richardson,40659037,PG/SG/G/UTIL,3000,ORL@ATL 11/04/2025 08:00PM ET,ORL,1.85
,,,,,,,,,,,,,PG,AJ Lawson (40658960),AJ Lawson,40658960,PG/G/UTIL,3000,MIL@TOR 11/04/2025 07:30PM ET,TOR,0
,,,,,,,,,,,,,PF/C,Jonathan Mogbo (40658963),Jonathan Mogbo,40658963,PF/C/F/UTIL,3000,MIL@TOR 11/04/2025 07:30PM ET,TOR,4.65
,,,,,,,,,,,,,PG,Chucky Hepburn (40658967),Chucky Hepburn,40658967,PG/G/UTIL,3000,MIL@TOR 11/04/2025 07:30PM ET,TOR,0
,,,,,,,,,,,,,SF/PF,Jamison Battle (40658970),Jamison Battle,40658970,SF/PF/F/UTIL,3000,MIL@TOR 11/04/2025 07:30PM ET,TOR,10.05
,,,,,,,,,,,,,SG,Alijah Martin (40658974),Alijah Martin,40658974,SG/G/UTIL,3000,MIL@TOR 11/04/2025 07:30PM ET,TOR,0
,,,,,,,,,,,,,SG/SF,Garrett Temple (40658977),Garrett Temple,40658977,SG/SF/F/G/UTIL,3000,MIL@TOR 11/04/2025 07:30PM ET,TOR,0
,,,,,,,,,,,,,SG/SF,Ja'Kobe Walter (40658982),Ja'Kobe Walter,40658982,SG/SF/F/G/UTIL,3000,MIL@TOR 11/04/2025 07:30PM ET,TOR,6.88
,,,,,,,,,,,,,SF,Alex Antetokounmpo (40659041),Alex Antetokounmpo,40659041,SF/F/UTIL,3000,MIL@TOR 11/04/2025 07:30PM ET,MIL,0
,,,,,,,,,,,,,PG,Mark Sears (40659044),Mark Sears,40659044,PG/G/UTIL,3000,MIL@TOR 11/04/2025 07:30PM ET,MIL,-0.5
,,,,,,,,,,,,,PF/C,Thanasis Antetokounmpo (40659047),Thanasis Antetokounmpo,40659047,PF/C/F/UTIL,3000,MIL@TOR 11/04/2025 07:30PM ET,MIL,0
,,,,,,,,,,,,,C,Jericho Sims (40659051),Jericho Sims,40659051,C/UTIL,3000,MIL@TOR 11/04/2025 07:30PM ET,MIL,2.06
,,,,,,,,,,,,,SG/SF,Andre Jackson Jr. (40659053),Andre Jackson Jr.,40659053,SG/SF/F/G/UTIL,3000,MIL@TOR 11/04/2025 07:30PM ET,MIL,1
,,,,,,,,,,,,,C,Pete Nance (40659058),Pete Nance,40659058,C/UTIL,3000,MIL@TOR 11/04/2025 07:30PM ET,MIL,0
,,,,,,,,,,,,,SG/SF,Gary Harris (40659060),Gary Harris,40659060,SG/SF/F/G/UTIL,3000,MIL@TOR 11/04/2025 07:30PM ET,MIL,2.12
,,,,,,,,,,,,,SG,Antonio Reeves (40658915),Antonio Reeves,40658915,SG/G/UTIL,3000,CHA@NOP 11/04/2025 08:00PM ET,CHA,0
,,,,,,,,,,,,,PG/SG,Trey Alexander (40658918),Trey Alexander,40658918,PG/SG/G/UTIL,3000,CHA@NOP 11/04/2025 08:00PM ET,NOP,0
,,,,,,,,,,,,,SG/SF,Micah Peavy (40658925),Micah Peavy,40658925,SG/SF/F/G/UTIL,3000,CHA@NOP 11/04/2025 08:00PM ET,NOP,6.5
,,,,,,,,,,,,,C,Hunter Dickinson (40658930),Hunter Dickinson,40658930,C/UTIL,3000,CHA@NOP 11/04/2025 08:00PM ET,NOP,3
,,,,,,,,,,,,,SG/SF,Bryce McGowens (40658932),Bryce McGowens,40658932,SG/SF/F/G/UTIL,3000,CHA@NOP 11/04/2025 08:00PM ET,NOP,2.83
,,,,,,,,,,,,,PG/SG,Dejounte Murray (40658937),Dejounte Murray,40658937,PG/SG/G/UTIL,3000,CHA@NOP 11/04/2025 08:00PM ET,NOP,0
,,,,,,,,,,,,,PF,Drew Peterson (40659014),Drew Peterson,40659014,PF/F/UTIL,3000,CHA@NOP 11/04/2025 08:00PM ET,CHA,0
,,,,,,,,,,,,,SG/SF,Pat Connaughton (40659017),Pat Connaughton,40659017,SG/SF/F/G/UTIL,3000,CHA@NOP 11/04/2025 08:00PM ET,CHA,5.08
,,,,,,,,,,,,,C,Mason Plumlee (40659022),Mason Plumlee,40659022,C/UTIL,3000,CHA@NOP 11/04/2025 08:00PM ET,CHA,2.25
